	chimp	human	rhesus
Number of genes	3252	4272	4438
Number of genes in orthogroups	3109	3683	3793
Number of unassigned genes	143	589	645
Percentage of genes in orthogroups	95.6	86.2	85.5
Percentage of unassigned genes	4.4	13.8	14.5
Number of orthogroups containing species	2928	3057	3106
Percentage of orthogroups containing species	91.2	95.3	96.8
Number of species-specific orthogroups	4	61	66
Number of genes in species-specific orthogroups	8	173	209
Percentage of genes in species-specific orthogroups	0.2	4.0	4.7


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	281	152	103
'1	2811	2652	2692
'2	85	288	299
'3	20	69	69
'4	3	27	20
'5	4	8	7
'6	1	5	6
'7	2	2	4
'8	2	2	2
'9	0	1	1
'10	0	2	0
11-15	0	1	4
16-20	0	0	1
21-50	0	0	1
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	8.8	4.7	3.2
'1	87.6	82.6	83.9
'2	2.6	9.0	9.3
'3	0.6	2.2	2.2
'4	0.1	0.8	0.6
'5	0.1	0.2	0.2
'6	0.0	0.2	0.2
'7	0.1	0.1	0.1
'8	0.1	0.1	0.1
'9	0.0	0.0	0.0
'10	0.0	0.1	0.0
11-15	0.0	0.0	0.1
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	2811	2652	2692
'2	170	576	598
'3	60	207	207
'4	12	108	80
'5	20	40	35
'6	6	30	36
'7	14	14	28
'8	16	16	16
'9	0	9	9
'10	0	20	0
11-15	0	11	47
16-20	0	0	17
21-50	0	0	28
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	86.4	62.1	60.7
'2	5.2	13.5	13.5
'3	1.8	4.8	4.7
'4	0.4	2.5	1.8
'5	0.6	0.9	0.8
'6	0.2	0.7	0.8
'7	0.4	0.3	0.6
'8	0.5	0.4	0.4
'9	0.0	0.2	0.2
'10	0.0	0.5	0.0
11-15	0.0	0.3	1.1
16-20	0.0	0.0	0.4
21-50	0.0	0.0	0.6
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
